occurrenceID,nameComplete,decimalLongitude,decimalLatitude
80097522,Elminius modestus,166.7617,-46.045
500608408,Elminius modestus,146.816667,-41.15
296974693,Elminius modestus,-1.29209819,60.444441
723294835,Elminius modestus,-5.93831317,56.6870451
80098228,Elminius modestus,174.8833,-41.1
479445619,Elminius modestus,146.32,-38.9
479445455,Elminius modestus,146.7,-38.8
479445637,Elminius modestus,146.8,-38.6
486890360,Elminius modestus,149.86999,-37.08999
486890370,Elminius modestus,149.91,-37.07999
296973631,Elminius modestus,-2.0199284,55.7743992
296973917,Elminius modestus,-1.54070501,55.310737
368229993,Elminius modestus,-6.17304498,55.2948915
486732751,Elminius modestus,151.12499,-34.083
486732744,Elminius modestus,151.22166,-33.86
486732759,Elminius modestus,151.29166,-33.65833
368222476,Elminius modestus,-6.26143183,55.289893
296974056,Elminius modestus,-1.49415911,55.1299141
297442156,Elminius modestus,-7.13413182,55.1119176
351210027,Elminius modestus,8.4381,55.0331
723304764,Elminius modestus,-3.36450821,54.9651354
486890354,Elminius modestus,151.76999,-32.91999
296974060,Elminius modestus,-3.22527118,54.9585289
22204950,Elminius modestus,-20,46
689452637,Elminius modestus,-5.06539652,50.065512
250363707,Elminius modestus,-5.09608779,50.0862895
723304862,Elminius modestus,-3.56891156,54.9186264
296973587,Elminius modestus,-3.59365084,54.8733618
463384125,Elminius modestus,-5.76968606,54.8169079
146209873,Elminius modestus,-4.95426231,54.8047151
146209943,Elminius modestus,-4.1251922,54.7843165
296973580,Elminius modestus,-3.43735528,54.7737428
296973450,Elminius modestus,-3.80051459,54.8632798
146209956,Elminius modestus,-4.04516315,54.7704102
373821785,Elminius modestus,-4.54296175,54.7241306
146209942,Elminius modestus,-4.29813149,54.8440923
146209968,Elminius modestus,-4.79811528,54.8425844
373820035,Elminius modestus,-4.22901513,54.8336946
250361894,Elminius modestus,-5.03445103,50.1508966
463335301,Elminius modestus,-5.58037998,54.6775812
296974299,Elminius modestus,-3.54848528,54.6708024
296974292,Elminius modestus,-3.55902674,54.6625773
463383037,Elminius modestus,-5.82838554,54.6508297
250364725,Elminius modestus,-5.0219453,50.1746146
296973928,Elminius modestus,-1.21237203,54.6224118
296973543,Elminius modestus,-1.04668141,54.6203219
296974240,Elminius modestus,-3.5817454,54.568798
732464211,Elminius modestus,-0.782055618,54.5604229
296973343,Elminius modestus,-3.59794614,54.5479104
463322881,Elminius modestus,-5.62536767,54.4645858
296973398,Elminius modestus,-5.42921561,50.1884864
373821669,Elminius modestus,-3.56634253,54.4494442
463388249,Elminius modestus,-5.54488124,54.4432051
463393286,Elminius modestus,-5.57557358,54.3934974
146209899,Elminius modestus,-3.62376664,54.4972276
373823979,Elminius modestus,-3.47715366,54.3714638
732463695,Elminius modestus,-0.405424999,54.3025498
463332229,Elminius modestus,-5.48240468,54.3556405
701014496,Elminius modestus,-5.4316651,54.4900018
296973752,Elminius modestus,-3.68576454,50.2187943
463317424,Elminius modestus,-5.61752734,54.2541338
146210044,Elminius modestus,-3.756518,50.236636
146209911,Elminius modestus,-3.38832889,54.2484688
146209888,Elminius modestus,-3.18681689,54.2335422
296972942,Elminius modestus,-2.8867796,54.1947751
296973225,Elminius modestus,-4.0184249,50.2944491
296973107,Elminius modestus,-3.94582292,50.3046827
150770065,Elminius modestus,-3.17119852,54.0611047
164149946,Elminius modestus,7.88759202,54.1567364
296973451,Elminius modestus,-3.11303823,54.1146927
296973440,Elminius modestus,-4.10488916,50.3127052
150770071,Elminius modestus,-3.13660261,54.0812128
150770049,Elminius modestus,-2.90071029,54.0598388
296973461,Elminius modestus,-2.87765558,53.980906
296973503,Elminius modestus,-4.19843838,50.3307634
463314647,Elminius modestus,-6.02698308,54.03597
296974478,Elminius modestus,-3.56197804,50.3347612
296973491,Elminius modestus,-4.12453932,50.3438317
732464616,Elminius modestus,0.065195283,53.6449419
296972743,Elminius modestus,-3.22625426,53.3854264
732464615,Elminius modestus,-0.004883088,53.7630108
22205273,Elminius modestus,4.190675,53.615078
164149955,Elminius modestus,8.57837519,53.557513
164149926,Elminius modestus,8.58589755,53.5485391
475123004,Elminius modestus,-4.48359207,53.4256802
298276292,Elminius modestus,-4.32583179,53.4176184
475103110,Elminius modestus,-4.25653423,53.3596036
475102404,Elminius modestus,-3.44260842,53.3353583
475102394,Elminius modestus,-3.38607819,53.3522112
475131846,Elminius modestus,-3.87796215,53.3468319
296974124,Elminius modestus,-4.22237688,53.3386649
146210054,Elminius modestus,-4.17732883,50.3608459
476398423,Elminius modestus,-3.82852828,53.3327646
475129209,Elminius modestus,-4.52038539,53.4114209
298368268,Elminius modestus,-0.296309939,53.7418856
475128976,Elminius modestus,-4.20730642,53.3232094
475101529,Elminius modestus,-3.8460361,53.3208066
475099441,Elminius modestus,-4.63418648,53.3167913
296972733,Elminius modestus,-4.46347825,50.374025
298350058,Elminius modestus,-0.633389262,53.729123
146209963,Elminius modestus,-2.95421189,53.726824
298353283,Elminius modestus,-0.520334198,53.7106992
475103199,Elminius modestus,-3.51853991,53.3164347
475102414,Elminius modestus,-3.47098035,53.3305166
475101830,Elminius modestus,-4.05514899,53.2976055
475101901,Elminius modestus,-3.74823572,53.3159865
475103435,Elminius modestus,-4.56550521,53.2733272
475102807,Elminius modestus,-3.18885002,53.2842148
298363395,Elminius modestus,-0.22344644,53.7075629
296569819,Elminius modestus,7.15773225,53.7064749
296973949,Elminius modestus,-3.51196423,50.4856351
296972861,Elminius modestus,-3.44409689,50.6178169
475131543,Elminius modestus,-3.12462472,53.2664077
475099624,Elminius modestus,-3.97388554,53.2603158
296972979,Elminius modestus,-3.30442985,50.6284589
475103223,Elminius modestus,-3.58680351,53.2948674
475101741,Elminius modestus,-4.08942845,53.2619429
701021796,Elminius modestus,-6.0754053,53.2758371
146210006,Elminius modestus,-0.799219446,50.6673489
146210007,Elminius modestus,-1.98513745,50.6780305
296973651,Elminius modestus,-2.95543849,50.7118903
146209932,Elminius modestus,-1.22567773,50.7240265
115625905,Elminius modestus,1.615055,50.77295
296974422,Elminius modestus,0.043507215,50.7797455
296973706,Elminius modestus,-4.55357193,53.2493041
296974387,Elminius modestus,-1.22747559,50.7869952
296974646,Elminius modestus,-1.35273097,50.8606061
475122590,Elminius modestus,-4.62289493,53.2428523
475101953,Elminius modestus,-4.15372702,53.2284284
296973541,Elminius modestus,-4.54972596,50.9307893
296973528,Elminius modestus,-4.27519094,51.0219143
296974471,Elminius modestus,-4.1897143,51.0541296
475130300,Elminius modestus,-4.3185671,53.1592432
776533596,Elminius modestus,1.08949599,51.0634807
296974269,Elminius modestus,-4.41367228,53.1344227
296973407,Elminius modestus,-4.16522246,51.0797707
146209996,Elminius modestus,1.25056185,51.1004909
22205031,Elminius modestus,2.680961,51.11299
24601323,Elminius modestus,2.5166283,51.12049
475124058,Elminius modestus,-4.40619737,53.0005886
475103760,Elminius modestus,-4.41805853,52.9994486
24735170,Elminius modestus,2.65,51.13333
24735309,Elminius modestus,2.75,51.166664
22205335,Elminius modestus,2.931045,51.18449
296973782,Elminius modestus,-4.22742924,51.1856362
296972930,Elminius modestus,-4.03953799,51.2088509
439701720,Elminius modestus,2.31,51.3
296974432,Elminius modestus,0.671673548,52.9787296
296974045,Elminius modestus,1.01576133,51.3559668
296973565,Elminius modestus,0.976561522,52.970582
475118164,Elminius modestus,-3.11355868,51.3737627
475125702,Elminius modestus,-3.5087123,51.3738371
476416648,Elminius modestus,-4.2702606,52.9097438
475125967,Elminius modestus,-3.42252957,51.3749153
296973674,Elminius modestus,-4.13655864,52.9131237
475118033,Elminius modestus,-3.22141692,51.3771845
476395354,Elminius modestus,-4.06173896,52.6842488
296974515,Elminius modestus,-4.015493,52.5474629
475104075,Elminius modestus,-3.38604968,51.3802988
476181046,Elminius modestus,-6.42301938,52.3530053
475128304,Elminius modestus,-3.28989458,51.3849941
476414684,Elminius modestus,-4.33276038,52.2151857
150770077,Elminius modestus,1.44347033,51.3882458
474003616,Elminius modestus,-9.88506125,52.2890498
439701679,Elminius modestus,3.258333,51.391666
150770076,Elminius modestus,1.38778043,51.3934692
296974279,Elminius modestus,-4.1170957,52.6356132
296974494,Elminius modestus,-4.39665499,52.882081
296974498,Elminius modestus,-4.4767833,52.8534581
296973467,Elminius modestus,1.57991741,52.1551268
296972948,Elminius modestus,1.59729082,52.1348066
296974112,Elminius modestus,-4.05656047,52.4793129
475102293,Elminius modestus,-3.16322152,51.4339833
475125775,Elminius modestus,-3.59004535,51.4402121
296973248,Elminius modestus,1.26792515,51.9887866
297479311,Elminius modestus,0.302872662,51.4638997
22204908,Elminius modestus,2.7044578,51.464825
296974006,Elminius modestus,1.25739369,51.8838333
476403657,Elminius modestus,-5.10917262,51.8212831
296973238,Elminius modestus,0.854236531,51.7836778
296973973,Elminius modestus,0.940586173,51.7734528
296974003,Elminius modestus,1.17017322,51.9662746
296973033,Elminius modestus,-4.45031337,51.7694111
296974464,Elminius modestus,-2.77072018,51.4934256
475102723,Elminius modestus,-3.07415999,51.5013808
473995651,Elminius modestus,-9.37830659,51.5087386
475104225,Elminius modestus,-3.75634179,51.5174305
296973966,Elminius modestus,0.905502137,51.7464419
475099378,Elminius modestus,-2.89750775,51.530743
610833303,Elminius modestus,-4.23542211,51.5421045
296973400,Elminius modestus,-4.33685819,51.7339481
610926925,Elminius modestus,-4.09130826,51.5447627
475101424,Elminius modestus,-4.31044478,51.7272756
475132412,Elminius modestus,-2.7934984,51.5607186
475103834,Elminius modestus,-4.02662811,51.566134
296973971,Elminius modestus,0.716266606,51.7320824
475103738,Elminius modestus,-3.98500553,51.5713424
296974355,Elminius modestus,-5.1683846,51.7135566
296974208,Elminius modestus,0.816629445,51.7387128
296974336,Elminius modestus,-5.1321255,51.7127306
610092256,Elminius modestus,-4.93933748,51.7096203
475107947,Elminius modestus,-4.67818384,51.7127195
475111350,Elminius modestus,-5.05231596,51.6887469
476419066,Elminius modestus,-4.60787221,51.7363382
475102670,Elminius modestus,-2.69078151,51.5896947
146210027,Elminius modestus,-2.62453887,51.6017561
475123792,Elminius modestus,-3.91358867,51.6062546
23828023,Elminius modestus,-9.648,51.607
475103632,Elminius modestus,-3.97358346,51.6075094
150982832,Elminius modestus,-5.06157024,51.6543241
296973282,Elminius modestus,-4.2481689,51.6542851
475100082,Elminius modestus,-4.16555233,51.6652816
476368432,Elminius modestus,-4.2516244,51.651071
475134220,Elminius modestus,-5.10569209,51.6122358
475134519,Elminius modestus,-4.75416052,51.6524969
