occurrenceID,nameComplete,decimalLongitude,decimalLatitude
36,Acartia tonsa,12.1167,56.6667
35,Acartia tonsa,10.191667,55.054833
38,Acartia tonsa,17.6253,58.803
7895265,Acartia tonsa,-93.371,29.672
40,Acartia tonsa,20.05,57.3333
41,Acartia tonsa,19.91,57.33
42,Acartia tonsa,14.0833,55
43,Acartia tonsa,18.2333,58.6
44,Acartia tonsa,18.2333,58.5833
45,Acartia tonsa,15.9833,55.25
46,Acartia tonsa,18.9468,62.6528
47,Acartia tonsa,12.2117,56.94
48,Acartia tonsa,16.2017,56.3708
49,Acartia tonsa,11.4333,58.2583
50,Acartia tonsa,10.5133,58.275
370542745,Acartia tonsa,-89.524,21.312
7894989,Acartia tonsa,-91.803,29.325
370536658,Acartia tonsa,-89.6,21.297
370546539,Acartia tonsa,-89.676,21.285
370545878,Acartia tonsa,-89.751,21.27
370544229,Acartia tonsa,-89.865,21.243
90089532,Acartia tonsa,0,0
7895279,Acartia tonsa,-91.879,29.133
21536269,Acartia tonsa,-70.445,-23.055
24658191,Acartia tonsa,-48.344,-25.279
24658237,Acartia tonsa,-48.466,-25.493
62,Acartia tonsa,14.0833333,55
24658240,Acartia tonsa,-48.613,-25.498
24658282,Acartia tonsa,-48.515,-25.53
7899165,Acartia tonsa,-93.56,29.664
24658157,Acartia tonsa,-48.388,-25.532
7895300,Acartia tonsa,-91.704,29.057
7899319,Acartia tonsa,-93.46,29.664
370538256,Acartia tonsa,-89.486,21.317
7899126,Acartia tonsa,-93.344,29.772
7899832,Acartia tonsa,-93.393,29.664
3,Acartia tonsa,12.715278,54.427222
4,Acartia tonsa,5.278577,52.758334
7899522,Acartia tonsa,-93.476,29.681
5,Acartia tonsa,3.487694,51.436601
237003101,Acartia tonsa,11,55.376701
237002811,Acartia tonsa,11.0333,55.3367
366436456,Acartia tonsa,-132.130526,51.997054
366436454,Acartia tonsa,-131.321126,51.5584595
22183022,Acartia tonsa,3.88238,51.39613
21536881,Acartia tonsa,-70.667,-20.401
7895034,Acartia tonsa,-91.062,25.842
21536845,Acartia tonsa,-70.626,-20.933
7895209,Acartia tonsa,-91.776,29.125
33,Acartia tonsa,10.531667,55.60336
366436473,Acartia tonsa,-130.520093,51.188033
22184144,Acartia tonsa,2.931045,51.18449
7894996,Acartia tonsa,-91.396,28.947
136897947,Acartia tonsa,20.05,57.3333333
7895039,Acartia tonsa,-91.042,28.886
24658268,Acartia tonsa,-48.247,-25.465
32,Acartia tonsa,10.308808,55.670833
29,Acartia tonsa,12,56
28,Acartia tonsa,-8.733969,40.643475
6,Acartia tonsa,3.903518,51.553287
7,Acartia tonsa,3.92193,51.758334
7895027,Acartia tonsa,-91.758,29.058
7895053,Acartia tonsa,-94.667,29.367
11,Acartia tonsa,-1.262161,50.793828
12,Acartia tonsa,-0.593029,49.358759
13,Acartia tonsa,1.087564,50.993517
24658211,Acartia tonsa,-48.25,-25.328
21536866,Acartia tonsa,-70.328,-20.203
7895328,Acartia tonsa,-93.63,29.663
2,Acartia tonsa,23.476112,60.022868
366436461,Acartia tonsa,-130.28798,50.9908651
366436455,Acartia tonsa,-130.519539,51.1198608
366436468,Acartia tonsa,-119.0799,33.6432
366436469,Acartia tonsa,-119.8754,33.6914
366436467,Acartia tonsa,-118.7347,33.8065
366436466,Acartia tonsa,-125.0435,38.6936
24658247,Acartia tonsa,-48.304,-25.495
366436471,Acartia tonsa,-128.05686,50.0190552
24658254,Acartia tonsa,-48.412,-25.41
366436474,Acartia tonsa,-133.595907,50.7137085
366436451,Acartia tonsa,-129.324601,50.5206909
366436457,Acartia tonsa,-130.368148,51.0642171
24658279,Acartia tonsa,-48.476,-25.549
43991624,Acartia tonsa,12.523,55.928001
21536849,Acartia tonsa,-70.66,-20.399
237002887,Acartia tonsa,11.15,56.099998
14,Acartia tonsa,2.363618,51.07011
