occurrenceID,nameComplete,decimalLongitude,decimalLatitude
500554762,Crassostrea gigas,146.78333,-41.15
147264599,Crassostrea gigas,-115.91667,68.96667
682613668,Crassostrea gigas,10.38097,59.22689
756583894,Crassostrea gigas,11.1264,58.8826
478992482,Crassostrea gigas,145,-38.23333
478841989,Crassostrea gigas,144.3617,-38.1433
479008666,Crassostrea gigas,149.75,-37.57
487440723,Crassostrea gigas,150.14083,-36.2486
500554742,Crassostrea gigas,150.48333,-35.35
500554733,Crassostrea gigas,150.66667,-35.05
24926323,Crassostrea gigas,23.0667,-34.0833
56943972,Crassostrea gigas,0,0
684510968,Crassostrea gigas,101.904,12.575
137213784,Crassostrea gigas,87,20.66667
488300886,Crassostrea gigas,114.216,22.216
215836580,Crassostrea gigas,114.18333,22.25
675018975,Crassostrea gigas,9.41648,58.8669
215836268,Crassostrea gigas,128.95,27.86667
866594337,Crassostrea gigas,-117.10236,32.62078
729650573,Crassostrea gigas,133.28799,33.4041
736914801,Crassostrea gigas,11.0453,58.8805
239359737,Crassostrea gigas,9.24319,58.72215
380223903,Crassostrea gigas,135.76,33.4479
675159927,Crassostrea gigas,9.07184,58.62482
614405845,Crassostrea gigas,135.18402,33.82251
675167609,Crassostrea gigas,8.8256,58.44726
295276110,Crassostrea gigas,131.918,33.9703
380223746,Crassostrea gigas,134.582,34.0761
729649598,Crassostrea gigas,132.259,34.275
766503891,Crassostrea gigas,11.2936,58.4443
239359739,Crassostrea gigas,8.60041,58.32076
729649844,Crassostrea gigas,135.12399,34.3055
764302688,Crassostrea gigas,11.6087,58.2642
875338987,Crassostrea gigas,11.4648,58.2526
743234717,Crassostrea gigas,11.844,58.1283
875153421,Crassostrea gigas,11.4637,58.2491
729651427,Crassostrea gigas,134.87801,34.3356
295276132,Crassostrea gigas,136.701,34.5398
239359734,Crassostrea gigas,7.78381,58.07388
729650852,Crassostrea gigas,135.015,34.5913
729651595,Crassostrea gigas,135.41499,34.6741
699210664,Crassostrea gigas,135.331,34.7233
739835902,Crassostrea gigas,11.541,58.003
672452995,Crassostrea gigas,-5.81082,57.8582
380139857,Crassostrea gigas,136.834,35.088
748786230,Crassostrea gigas,11.6083,57.6942
295275928,Crassostrea gigas,139.631,35.1945
215836558,Crassostrea gigas,139.58333,35.26667
215836384,Crassostrea gigas,139.66667,35.41667
215836382,Crassostrea gigas,139.78361,35.41694
672447783,Crassostrea gigas,-4.10753,57.596
38673835,Crassostrea gigas,139.642,35.4492
380223061,Crassostrea gigas,135.205,35.5392
747651951,Crassostrea gigas,11.9027,57.5916
738206429,Crassostrea gigas,11.9095,57.5127
380223744,Crassostrea gigas,140.581,36.3228
14892103,Crassostrea gigas,-6.31,36.36
614405753,Crassostrea gigas,-6.4299,36.7478
765644179,Crassostrea gigas,12.0794,57.3947
752865060,Crassostrea gigas,11.9451,57.3892
739965328,Crassostrea gigas,12.0853,57.3811
295276014,Crassostrea gigas,137.278,36.7549
672448914,Crassostrea gigas,-6.10949,57.33985
672447894,Crassostrea gigas,-2.19002,56.97468
752642529,Crassostrea gigas,12.0963,57.3029
765297277,Crassostrea gigas,12.3734,56.9141
746862695,Crassostrea gigas,12.0824,57.2908
765297275,Crassostrea gigas,12.4279,56.8999
295276103,Crassostrea gigas,137.186,36.7558
296933176,Crassostrea gigas,-5.24958,56.71503
875535798,Crassostrea gigas,12.8967,56.6387
672452899,Crassostrea gigas,-2.57023,56.55393
672446312,Crassostrea gigas,-2.78146,56.06577
672450516,Crassostrea gigas,-2.70425,56.49934
672452673,Crassostrea gigas,-3.37953,55.98953
744417833,Crassostrea gigas,12.5637,56.4479
672448599,Crassostrea gigas,-5.4693,56.43756
802528367,Crassostrea gigas,-5.05611,56.24346
672451157,Crassostrea gigas,-3.28212,56.0499
672450569,Crassostrea gigas,-3.08821,55.94932
672453753,Crassostrea gigas,-4.87073,55.92336
788200390,Crassostrea gigas,12.6226,56.7488
765601117,Crassostrea gigas,12.1974,57.1881
765601212,Crassostrea gigas,12.1773,57.1564
672450951,Crassostrea gigas,-2.12873,55.89385
765297246,Crassostrea gigas,12.352,56.9305
295275995,Crassostrea gigas,137.347,36.7723
295276102,Crassostrea gigas,137.054,36.7884
672445794,Crassostrea gigas,-4.85843,55.77801
295276252,Crassostrea gigas,136.958,36.8605
672443566,Crassostrea gigas,-1.64075,55.57258
