occurrenceID,nameComplete,decimalLongitude,decimalLatitude
143543832,Ensis directus,0,0
10,Ensis directus,11.439336,58.248262
8,Ensis directus,11.144848,58.875283
614419456,Ensis directus,57.51527,10.472031
7,Ensis directus,11.027398,58.899184
477073720,Ensis directus,-84.9083333,26.0366667
137265695,Ensis directus,-81.2,30.5
137265693,Ensis directus,-81,31
137265373,Ensis directus,-80.8,31
12017006,Ensis directus,-81.28,31.0055
6,Ensis directus,12.3857,54.907758
12017004,Ensis directus,-80.9758,31.9275
137265391,Ensis directus,-77.3,33.8
137265672,Ensis directus,-77,34.3
477008094,Ensis directus,-75.2166667,35.4166667
477016240,Ensis directus,-74.9333333,36.3333333
477008891,Ensis directus,-75.1166667,36.75
476972873,Ensis directus,-74.9833333,36.9833333
477193300,Ensis directus,-74.8166667,37.1166667
476988402,Ensis directus,-73.6666667,37.7166667
477002468,Ensis directus,-74.6666667,37.75
477058385,Ensis directus,-73.5,38.0833333
137265521,Ensis directus,-73.406667,38.716667
137265478,Ensis directus,-73.071667,38.73
137265565,Ensis directus,-73.396667,38.788333
137265519,Ensis directus,-73.423333,38.816667
477071905,Ensis directus,-72.35,38.9666667
476984721,Ensis directus,-73.35,39.0666667
137265569,Ensis directus,-73.891667,39.076667
137265503,Ensis directus,-73.166667,39.316667
137265544,Ensis directus,-74.086667,39.35
137265542,Ensis directus,-73.01,39.388333
137265633,Ensis directus,-74.2,39.4
137265629,Ensis directus,-72.8,40
477145088,Ensis directus,-72.4166667,40.15
137265649,Ensis directus,-73.8,40.2
137265606,Ensis directus,-67.768333,40.641667
137265608,Ensis directus,-67.698333,40.658333
137265414,Ensis directus,-68.3,40.8
476996613,Ensis directus,-71.3666667,41.0833333
767909861,Ensis directus,-72.68222,41.28889
5,Ensis directus,9.612122,55.090039
178117400,Ensis directus,-70.84,41.35
178117349,Ensis directus,-70.81,41.35
4,Ensis directus,10.750969,55.436148
447494488,Ensis directus,4.384,55.702
767909818,Ensis directus,5.3166,53.4
115744689,Ensis directus,3,55.33
115744778,Ensis directus,6.8091664,54.059723
447494486,Ensis directus,2.783,54.006
3,Ensis directus,9.930894,55.662487
296976109,Ensis directus,0.674649289,52.9786626
22204589,Ensis directus,4.190675,53.615078
296976107,Ensis directus,0.634257154,52.9759679
2,Ensis directus,10.295378,56.034346
614419430,Ensis directus,6.482964,53.533166
1,Ensis directus,12.864482,56.541081
122316761,Ensis directus,-70.74,41.38
251543776,Ensis directus,1.01702767,52.9740579
614419294,Ensis directus,6.2166,53.4833
296976087,Ensis directus,0.181781025,52.9545644
296976080,Ensis directus,0.380150455,52.9606474
614419360,Ensis directus,5.75,53.45
296976113,Ensis directus,0.278799506,52.9590377
675113336,Ensis directus,10.609436,59.654194
251566905,Ensis directus,0.479658568,52.9559143
251566883,Ensis directus,0.449855654,52.8764987
296976115,Ensis directus,0.278823112,52.8745098
675114342,Ensis directus,10.624996,59.572269
447494489,Ensis directus,1.446,58.257
768109148,Ensis directus,10.472031,57.51527
447494501,Ensis directus,4.35,52.233
251554528,Ensis directus,1.70307669,52.7198606
447494498,Ensis directus,3.541,57.064
614419288,Ensis directus,4.6333,52.6166
768052760,Ensis directus,4.1116,51.9912
614419292,Ensis directus,4.2689,52.1063
251576545,Ensis directus,1.28080625,51.9358053
251576455,Ensis directus,1.16524185,51.9479674
614419359,Ensis directus,4.1422,52.0119
296976077,Ensis directus,0.222064771,52.8980663
614419427,Ensis directus,4.0073,51.9161
251581206,Ensis directus,0.515335135,53.3130633
22204591,Ensis directus,5.25,53.25
614419399,Ensis directus,4.8759,53.1653
251576737,Ensis directus,1.26237348,51.8823459
614419290,Ensis directus,3.8908767,51.8240549
251581463,Ensis directus,1.01819465,51.8065647
296976120,Ensis directus,0.485321525,53.0286356
178117427,Ensis directus,-70.94,41.41
447494487,Ensis directus,6.364,56.225
251581619,Ensis directus,0.994045185,51.781547
296976121,Ensis directus,0.554649232,53.0154756
24573995,Ensis directus,3.9374764,51.805607
251577246,Ensis directus,1.1683838,51.7859691
24574039,Ensis directus,4.009964,51.80648
178117429,Ensis directus,-70.93,41.42
178117283,Ensis directus,-70.76,41.42
24574019,Ensis directus,4.1586227,51.67328
178117404,Ensis directus,-70.7,41.42
24573996,Ensis directus,4.0167913,51.581795
251577292,Ensis directus,1.15390694,51.7863587
24573986,Ensis directus,4.09149,51.49274
122316766,Ensis directus,-70.85,41.42
122316783,Ensis directus,-70.68,41.65
178117460,Ensis directus,-70.65,41.64
251581815,Ensis directus,0.933800687,51.7470876
251581677,Ensis directus,0.774090395,51.741974
24574052,Ensis directus,4.090208,51.53768
178117451,Ensis directus,-70.65,41.57
178117322,Ensis directus,-70.83,41.54
178117328,Ensis directus,-70.89,41.54
24573992,Ensis directus,3.8740363,51.53508
122316950,Ensis directus,-70.94,41.52
178117433,Ensis directus,-70.73,41.52
178117363,Ensis directus,-70.58,41.51
178117436,Ensis directus,-70.74,41.5
24574034,Ensis directus,3.9489355,51.446117
614419440,Ensis directus,-70.20417,41.65278
122316839,Ensis directus,-70.62,41.5
122316948,Ensis directus,-70.87,41.61
24574000,Ensis directus,3.6613088,51.442215
251581696,Ensis directus,0.715678016,51.7343446
178117361,Ensis directus,-70.58,41.5
122316935,Ensis directus,-70.66,41.68
24574043,Ensis directus,3.7972648,51.668926
122316784,Ensis directus,-70.7,41.67
122316828,Ensis directus,-70.57,41.48
614419429,Ensis directus,3.7099,51.4335
24574004,Ensis directus,3.798842,51.623993
122316770,Ensis directus,-70.79,41.59
122316720,Ensis directus,-70.66,41.48
296976110,Ensis directus,0.659362567,51.4284683
24574038,Ensis directus,4.0154324,51.62673
296976096,Ensis directus,0.655446561,51.4105676
477001241,Ensis directus,-67.25,42.0833333
17453811,Ensis directus,-65.0494,41.9736
24574037,Ensis directus,4.0221977,51.402042
614419358,Ensis directus,-70.93528,42.45833
477159705,Ensis directus,-66.8216324,44.6981392
24573984,Ensis directus,3.9503531,51.40118
24573974,Ensis directus,3.7250035,51.667923
137265288,Ensis directus,-70.4,41.6
251553363,Ensis directus,1.74102066,50.9454516
24574080,Ensis directus,4.304262,51.629765
24574076,Ensis directus,4.0876355,51.627556
113843804,Ensis directus,-65.4,44.85
24573983,Ensis directus,3.8785121,51.400272
24573978,Ensis directus,3.8066742,51.39932
251566352,Ensis directus,0.721898765,50.9053113
24574057,Ensis directus,3.7348402,51.398323
251553486,Ensis directus,0.054848323,50.7795462
178117337,Ensis directus,-70.99,41.5
24574021,Ensis directus,3.6630096,51.39728
251568358,Ensis directus,0.783739363,50.9164459
251587587,Ensis directus,1.12616499,51.3737603
251587784,Ensis directus,0.946054499,51.3667373
477127943,Ensis directus,-69.5,41.4583333
24574005,Ensis directus,3.8710353,51.62495
251587531,Ensis directus,1.38290078,51.2883549
17453905,Ensis directus,-66.15,45.1833
17452655,Ensis directus,-66.8333,45.0333
147340897,Ensis directus,-70.17917,42.05833
